Country,Age-standardized death rate from self-harm among both sexes
Afghanistan,5.3678036
Africa,9.3557415
Albania,3.0260282
Algeria,2.1706822
Andorra,8.645201
Angola,13.515438
Antigua and Barbuda,0
Argentina,9.058666
Armenia,1.8649703
Asia,9.139826
Australia,12.731302
Austria,10.429394
Azerbaijan,1.8070059
Bahamas,3.2905679
Bahrain,4.7370906
Bangladesh,3.1571724
Barbados,4.160553
Belarus,13.962705
Belgium,14.194127
Belize,5.5492887
Benin,11.966782
Bhutan,5.123783
Bolivia,5.9175515
Bosnia and Herzegovina,7.8537574
Botswana,11.155064
Brazil,6.1931353
Brunei,2.2128606
Bulgaria,6.094612
Burkina Faso,15.357176
Burundi,13.518667
Cambodia,5.078874
Cameroon,13.70396
Canada,11.051712
Cape Verde,16.22153
Central African Republic,20.529852
Chad,10.998159
Chile,8.708812
China,6.9841213
Colombia,4.8825946
Comoros,9.11272
"Congo, Republic of the",11.919834
Cook Islands,9.335032
Costa Rica,6.716639
Cote D'ivoire,13.350087
Croatia,10.510235
Cuba,9.5506315
Cyprus,3.8793204
Czechia,9.566039
"Congo, Democratic Republic of the",14.918761
Denmark,8.091381
Djibouti,10.423273
Dominica,3.9704623
Dominican Republic,6.066239
East Timor,4.4529095
Ecuador,8.454114
Egypt,1.0168709
El Salvador,7.9940805
Equatorial Guinea,11.155168
Eritrea,20.120893
Estonia,12.830272
Eswatini,33.847137
Ethiopia,10.237839
Europe,11.772523
Fiji,9.784469
Finland,13.04266
France,10.772086
Gabon,13.0155945
Gambia,8.789463
Georgia,6.4176426
Germany,8.208178
Ghana,8.159388
Greece,3.8816888
Grenada,0.84720457
Guatemala,6.30955
Guinea,8.303636
Guinea-Bissau,12.11979
Guyana,29.433424
Haiti,10.113347
Honduras,3.9126563
Hungary,11.72633
Iceland,11.207344
India,14.198875
Indonesia,1.6998968
Iran,4.1634345
Iraq,4.1039104
Ireland,7.4722433
Israel,4.9651217
Italy,4.5956607
Jamaica,1.6827676
Japan,13.436278
Jordan,0.8447805
Kazakhstan,19.20956
Kenya,11.049992
Kiribati,20.650068
Kuwait,1.7724559
Kyrgyzstan,9.613201
Laos,5.020801
Latvia,14.299287
Lebanon,0.7094402
Lesotho,37.40853
Liberia,9.507492
Libya,6.057289
Lithuania,20.856903
Luxembourg,8.641269
Madagascar,9.945059
Malawi,13.70788
Malaysia,5.382126
Maldives,2.8409522
Mali,8.01412
Malta,5.4241176
Marshall Islands,21.432976
Mauritania,4.933923
Mauritius,8.703687
Mexico,6.1456814
Micronesia (country),21.802633
Moldova,10.878213
Monaco,13.125983
Mongolia,18.49446
Montenegro,11.422834
Morocco,3.2861435
Mozambique,21.413422
Burma,3.1073408
Namibia,10.809209
Nauru,27.403366
Nepal,11.651627
Netherlands,8.866246
New Zealand,11.050675
Nicaragua,4.713315
Niger,8.92037
Nigeria,7.9331284
Niue,11.636062
North America,10.826432
"Korea, North",8.379988
North Macedonia,3.856524
Norway,11.122086
Oceania,10.626048
Oman,1.8189901
Pakistan,6.9591665
Palau,15.315783
Panama,2.5743923
Papua New Guinea,2.4392405
Paraguay,8.087288
Peru,2.1640735
Philippines,3.2567651
Poland,11.507868
Portugal,7.746035
Qatar,5.6310563
Romania,7.131042
Russia,20.724245
Rwanda,13.210629
Saint Kitts and Nevis,2.2208884
Saint Lucia,6.562912
Saint Vincent and the Grenadines,0.23634504
Samoa,15.206717
San Marino,9.607233
Sao Tome and Principe,1.302454
Saudi Arabia,1.5740743
Senegal,11.223498
Serbia,10.0607815
Seychelles,7.14435
Sierra Leone,9.845119
Singapore,7.1845045
Slovakia,7.110925
Slovenia,13.656528
Solomon Islands,23.018873
Somalia,15.521366
South Africa,19.506004
South America,6.5516133
"Korea, South",21.014566
South Sudan,12.919869
Spain,5.8123217
Sri Lanka,15.207209
Sudan,4.141528
Suriname,26.84077
Sweden,12.533558
Switzerland,9.812428
Syria,0.71800506
Tajikistan,3.2725453
Tanzania,7.960933
Thailand,12.185384
Togo,15.857069
Tonga,5.3360753
Trinidad and Tobago,12.175164
Tunisia,2.564928
Turkey,3.4228606
Turkmenistan,7.6226087
Tuvalu,17.754292
Uganda,10.565646
Ukraine,19.017067
United Arab Emirates,2.0868824
United Kingdom,8.68597
United States,13.3733635
Uruguay,21.054651
Uzbekistan,10.620617
Vanuatu,18.398367
Venezuela,7.426953
Vietnam,7.43494
World,9.247089
Yemen,5.282959
Zambia,10.863016
Zimbabwe,23.76183
